"","placeID","Rpayment","Rcuisine","hours","days","parking_lot","latitude","longitude","the_geom_meter","name","address","city","state","country","fax","zip","alcohol","smoking_area","dress_code","accessibility","price","url","Rambience","franchise","area","other_services","userID","rating","food_rating","service_rating"
"1",135109,"cash","Italian","08:00-21:00;","Mon;Tue;Wed;Thu;Fri;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1030",0,0,0
"2",135109,"cash","Italian","08:00-21:00;","Mon;Tue;Wed;Thu;Fri;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1020",2,2,1
"3",135109,"cash","Italian","08:00-21:00;","Mon;Tue;Wed;Thu;Fri;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1051",1,1,1
"4",135109,"cash","Italian","08:00-21:00;","Mon;Tue;Wed;Thu;Fri;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1041",1,2,1
"5",135109,"cash","Italian","08:00-21:00;","Sat;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1030",0,0,0
"6",135109,"cash","Italian","08:00-21:00;","Sat;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1020",2,2,1
"7",135109,"cash","Italian","08:00-21:00;","Sat;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1051",1,1,1
"8",135109,"cash","Italian","08:00-21:00;","Sat;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1041",1,2,1
"9",135109,"cash","Italian","08:00-21:00;","Sun;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1030",0,0,0
"10",135109,"cash","Italian","08:00-21:00;","Sun;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1020",2,2,1
"11",135109,"cash","Italian","08:00-21:00;","Sun;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1051",1,1,1
"12",135109,"cash","Italian","08:00-21:00;","Sun;","none",18.9217848,-99.2353499,"0101000020957F0000A6BF695F136F5AC1DADF87B205564A41","Paniroles","?","?","?","?","?","?","Wine-Beer","not permitted","informal","no_accessibility","medium","?","quiet","f","closed","Internet","U1041",1,2,1
"13",135106,"cash","Mexican","18:00-23:30;","Mon;Tue;Wed;Thu;Fri;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1055",2,2,2
"14",135106,"cash","Mexican","18:00-23:30;","Mon;Tue;Wed;Thu;Fri;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1126",2,2,2
"15",135106,"cash","Mexican","18:00-23:30;","Mon;Tue;Wed;Thu;Fri;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1024",1,1,1
"16",135106,"cash","Mexican","18:00-23:30;","Mon;Tue;Wed;Thu;Fri;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1004",2,2,2
"17",135106,"cash","Mexican","18:00-23:30;","Mon;Tue;Wed;Thu;Fri;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1106",0,0,0
"18",135106,"cash","Mexican","18:00-23:30;","Mon;Tue;Wed;Thu;Fri;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1016",2,2,2
"19",135106,"cash","Mexican","18:00-23:30;","Mon;Tue;Wed;Thu;Fri;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1101",0,0,0
"20",135106,"cash","Mexican","18:00-23:30;","Mon;Tue;Wed;Thu;Fri;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1135",0,0,0
"21",135106,"cash","Mexican","18:00-23:30;","Mon;Tue;Wed;Thu;Fri;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1078",2,2,2
"22",135106,"cash","Mexican","18:00-23:30;","Mon;Tue;Wed;Thu;Fri;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1002",1,1,1
"23",135106,"cash","Mexican","18:00-23:30;","Sat;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1055",2,2,2
"24",135106,"cash","Mexican","18:00-23:30;","Sat;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1126",2,2,2
"25",135106,"cash","Mexican","18:00-23:30;","Sat;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1024",1,1,1
"26",135106,"cash","Mexican","18:00-23:30;","Sat;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1004",2,2,2
"27",135106,"cash","Mexican","18:00-23:30;","Sat;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1106",0,0,0
"28",135106,"cash","Mexican","18:00-23:30;","Sat;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1016",2,2,2
"29",135106,"cash","Mexican","18:00-23:30;","Sat;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1101",0,0,0
"30",135106,"cash","Mexican","18:00-23:30;","Sat;","none",22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincón de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none","U1135",0,0,0
