"","userID","placeID","rating","food_rating","service_rating","Rcuisine","Upayment"
"1","U1077",135085,2,2,2,"Mexican","VISA"
"2","U1077",135085,2,2,2,"Mexican","cash"
"3","U1077",135085,2,2,2,"Mexican","bank_debit_cards"
"4","U1077",135038,2,2,1,"Mexican","VISA"
"5","U1077",135038,2,2,1,"Mexican","cash"
"6","U1077",135038,2,2,1,"Mexican","bank_debit_cards"
"7","U1077",132825,2,2,2,"Mexican","VISA"
"8","U1077",132825,2,2,2,"Mexican","cash"
"9","U1077",132825,2,2,2,"Mexican","bank_debit_cards"
"10","U1077",135060,1,2,2,"Mexican","VISA"
"11","U1077",135060,1,2,2,"Mexican","cash"
"12","U1077",135060,1,2,2,"Mexican","bank_debit_cards"
"13","U1068",135104,1,1,2,"Mexican","cash"
"14","U1068",132740,0,0,0,"Mexican","cash"
"15","U1068",132663,1,1,1,"Mexican","cash"
"16","U1068",132732,0,0,0,"Mexican","cash"
"17","U1068",132630,1,1,1,"Mexican","cash"
"18","U1067",132584,2,2,2,"Mexican","cash"
"19","U1067",132733,1,1,1,"Mexican","cash"
"20","U1067",132732,1,2,2,"Mexican","cash"
"21","U1067",132630,1,0,1,"Mexican","cash"
"22","U1067",135104,0,0,0,"Mexican","cash"
"23","U1067",132560,1,0,0,"Mexican","cash"
"24","U1103",132584,1,2,1,"Mexican","cash"
"25","U1103",132584,1,2,1,"Mexican","bank_debit_cards"
"26","U1103",132732,0,0,2,"Mexican","cash"
"27","U1103",132732,0,0,2,"Mexican","bank_debit_cards"
"28","U1103",132630,1,2,0,"Mexican","cash"
"29","U1103",132630,1,2,0,"Mexican","bank_debit_cards"
"30","U1103",132613,2,2,2,"Mexican","cash"
"31","U1103",132613,2,2,2,"Mexican","bank_debit_cards"
"32","U1103",132667,1,2,2,"Mexican","cash"
"33","U1103",132667,1,2,2,"Mexican","bank_debit_cards"
"34","U1103",135104,1,2,0,"Mexican","cash"
"35","U1103",135104,1,2,0,"Mexican","bank_debit_cards"
"36","U1103",132663,1,0,2,"Mexican","cash"
"37","U1103",132663,1,0,2,"Mexican","bank_debit_cards"
"38","U1103",132733,2,2,2,"Mexican","cash"
"39","U1103",132733,2,2,2,"Mexican","bank_debit_cards"
"40","U1107",132660,2,2,1,"Mexican","bank_debit_cards"
"41","U1107",132660,2,2,1,"Mexican","cash"
"42","U1107",132584,2,2,2,"Mexican","bank_debit_cards"
"43","U1107",132584,2,2,2,"Mexican","cash"
"44","U1107",132733,2,2,2,"Mexican","bank_debit_cards"
"45","U1107",132733,2,2,2,"Mexican","cash"
"46","U1044",135088,2,2,2,"Mexican","VISA"
"47","U1044",135088,2,2,2,"Mexican","bank_debit_cards"
"48","U1044",135088,2,2,2,"Mexican","cash"
"49","U1044",135088,2,2,2,"Mexican","MasterCard-Eurocard"
"50","U1044",132583,1,2,1,"Mexican","VISA"
"51","U1044",132583,1,2,1,"Mexican","bank_debit_cards"
"52","U1044",132583,1,2,1,"Mexican","cash"
"53","U1044",132583,1,2,1,"Mexican","MasterCard-Eurocard"
"54","U1070",132608,2,2,1,"Mexican","cash"
"55","U1070",132609,1,1,1,"Mexican","cash"
"56","U1070",132613,1,1,0,"Mexican","cash"
"57","U1031",132663,0,0,0,"Mexican","cash"
"58","U1031",132663,0,0,0,"Mexican","American_Express"
"59","U1031",132665,0,0,0,"Mexican","cash"
"60","U1031",132665,0,0,0,"Mexican","American_Express"
"61","U1031",132668,0,0,0,"Mexican","cash"
"62","U1031",132668,0,0,0,"Mexican","American_Express"
"63","U1082",132630,1,1,1,"Mexican","cash"
"64","U1023",132715,0,0,0,"Mexican","cash"
"65","U1023",132717,0,0,0,"Mexican","cash"
"66","U1082",132613,0,0,0,"Mexican","cash"
"67","U1082",132594,0,0,0,"Mexican","cash"
"68","U1082",132608,0,0,0,"Mexican","cash"
"69","U1082",132609,0,0,0,"Mexican","cash"
"70","U1082",132663,0,0,0,"Mexican","cash"
"71","U1082",132560,0,0,0,"Mexican","cash"
"72","U1060",132564,2,2,2,"Burgers","cash"
"73","U1060",132564,2,2,2,"Cafeteria","cash"
"74","U1060",132564,2,2,2,"Pizzeria","cash"
"75","U1060",132564,2,2,2,"Juice","cash"
"76","U1060",132564,2,2,2,"American","cash"
"77","U1060",132564,2,2,2,"Tex-Mex","cash"
"78","U1060",132564,2,2,2,"Spanish","cash"
"79","U1060",132564,2,2,2,"Mexican","cash"
"80","U1060",132564,2,2,2,"Fast_Food","cash"
"81","U1060",132564,2,2,2,"Cafe-Coffee_Shop","cash"
"82","U1060",132564,2,2,2,"Soup","cash"
"83","U1060",132564,2,2,2,"Hot_Dogs","cash"
"84","U1060",132564,2,2,2,"Italian","cash"
"85","U1060",132717,2,2,2,"Burgers","cash"
"86","U1060",132717,2,2,2,"Cafeteria","cash"
"87","U1060",132717,2,2,2,"Pizzeria","cash"
"88","U1060",132717,2,2,2,"Juice","cash"
"89","U1060",132717,2,2,2,"American","cash"
"90","U1060",132717,2,2,2,"Tex-Mex","cash"
"91","U1060",132717,2,2,2,"Spanish","cash"
"92","U1060",132717,2,2,2,"Mexican","cash"
"93","U1060",132717,2,2,2,"Fast_Food","cash"
"94","U1060",132717,2,2,2,"Cafe-Coffee_Shop","cash"
"95","U1060",132717,2,2,2,"Soup","cash"
"96","U1060",132717,2,2,2,"Hot_Dogs","cash"
"97","U1060",132717,2,2,2,"Italian","cash"
"98","U1060",132733,2,1,2,"Burgers","cash"
"99","U1060",132733,2,1,2,"Cafeteria","cash"
"100","U1060",132733,2,1,2,"Pizzeria","cash"
"101","U1060",132733,2,1,2,"Juice","cash"
"102","U1060",132733,2,1,2,"American","cash"
"103","U1060",132733,2,1,2,"Tex-Mex","cash"
"104","U1060",132733,2,1,2,"Spanish","cash"
"105","U1060",132733,2,1,2,"Mexican","cash"
"106","U1060",132733,2,1,2,"Fast_Food","cash"
"107","U1060",132733,2,1,2,"Cafe-Coffee_Shop","cash"
"108","U1060",132733,2,1,2,"Soup","cash"
"109","U1060",132733,2,1,2,"Hot_Dogs","cash"
"110","U1060",132733,2,1,2,"Italian","cash"
"111","U1060",132740,1,2,1,"Burgers","cash"
"112","U1060",132740,1,2,1,"Cafeteria","cash"
"113","U1060",132740,1,2,1,"Pizzeria","cash"
"114","U1060",132740,1,2,1,"Juice","cash"
"115","U1060",132740,1,2,1,"American","cash"
"116","U1060",132740,1,2,1,"Tex-Mex","cash"
"117","U1060",132740,1,2,1,"Spanish","cash"
"118","U1060",132740,1,2,1,"Mexican","cash"
"119","U1060",132740,1,2,1,"Fast_Food","cash"
